nba_id,year,player_name,bref_id,team,FT_PERC,FTPerc,games,is_aggregate_team
82,1998,Bill Wennington,wennibi01,CHI,0.81,0.81,48,False
182,1998,Billy Owens,owensbi01,SAC,0.589,0.589,78,False
902,1998,Bimbo Coles,colesbi01,GSW,0.886,0.886,53,False
183,1998,Bison Dele,delebi01,DET,0.707,0.707,78,False
898,1998,Blue Edwards,edwarbl01,VAN,0.837,0.837,81,False
448,1998,Bo Outlaw,outlabo01,ORL,0.575,0.575,82,False
737,1998,Bob McCann,mccanbo01,TOR,,,1,False
682,1998,Bob Sura,surabo01,CLE,0.565,0.565,46,False
310,1998,Bobby Hurley,hurlebo01,2TM,0.776,0.776,61,True
1517,1998,Bobby Jackson,jacksbo01,DEN,0.814,0.814,68,False
184,1998,Bobby Phills,phillbo01,CHH,0.757,0.757,62,False
38,1998,Brad Lohaus,lohaubr01,SAS,0.333,0.333,9,False
1585,1998,Brandon Williams,willibr01,GSW,0.5,0.5,9,False
699,1998,Brent Barry,barrybr01,2TM,0.858,0.858,58,True
85,1998,Brent Price,pricebr01,HOU,0.786,0.786,72,False
1510,1998,Brevin Knight,knighbr01,CLE,0.801,0.801,80,False
967,1998,Brian Evans,evansbr01,2TM,0.807,0.807,72,True
258,1998,Brian Grant,grantbr01,POR,0.75,0.75,61,False
1680,1998,Brian Oliver,olivebr01,ATL,0.25,0.25,5,False
216,1998,Brian Shaw,shawbr01,2TM,0.692,0.692,59,True
240,1998,Brooks Thompson,thompbr01,2TM,0.5,0.5,30,True
1477,1998,Bruce Bowen,bowenbr01,BOS,0.623,0.623,61,False
735,1998,Bryant Reeves,reevebr01,VAN,0.706,0.706,74,False
179,1998,Bryant Stith,stithbr01,DEN,0.872,0.872,31,False
935,1998,Bryon Russell,russebr01,UTA,0.766,0.766,82,False
1528,1998,Bubba Wells,wellsbu01,DAL,0.721,0.721,39,False
433,1998,Buck Williams,willibu01,NYK,0.732,0.732,41,False
384,1998,Calbert Cheaney,cheanca01,WAS,0.647,0.647,82,False
61,1998,Carl Herrera,herreca01,SAS,0.409,0.409,58,False
1063,1998,Carl Thomas,thomaca01,3TM,0.64,0.64,43,True
435,1998,Carlos Rogers,rogerca01,2TM,0.563,0.563,21,True
76,1998,Cedric Ceballos,cebalce01,2TM,0.738,0.738,47,True
1538,1998,Cedric Henderson,hendece02,CLE,0.716,0.716,82,False
787,1998,Charles Barkley,barklch01,HOU,0.746,0.746,68,False
279,1998,Charles Jones,jonesch01,HOU,0.5,0.5,24,False
1525,1998,Charles O'Bannon,obannch01,DET,0.8,0.8,30,False
891,1998,Charles Oakley,oaklech01,NYK,0.851,0.851,79,False
1520,1998,Charles Smith,smithch04,2TM,0.545,0.545,34,True
369,1998,Charlie Ward,wardch01,NYK,0.805,0.805,82,False
1497,1998,Chauncey Billups,billuch01,2TM,0.85,0.85,80,True
685,1998,Cherokee Parks,parksch02,MIN,0.651,0.651,79,False
1512,1998,Chris Anstey,anstech01,DAL,0.716,0.716,41,False
713,1998,Chris Carr,carrch01,MIN,0.848,0.848,51,False
164,1998,Chris Childs,childch01,NYK,0.825,0.825,68,False
1544,1998,Chris Crawford,crawfch01,ATL,0.838,0.838,40,False
201,1998,Chris Dudley,dudlech02,NYK,0.446,0.446,51,False
1612,1998,Chris Garner,garnech01,TOR,0.429,0.429,38,False
423,1998,Chris Gatling,gatlich01,NJN,0.6,0.6,57,False
168,1998,Chris Mills,millsch01,NYK,0.804,0.804,80,False
356,1998,Chris Morris,morrich01,UTA,0.721,0.721,54,False
904,1998,Chris Mullin,mullich01,IND,0.939,0.939,82,False
997,1998,Chris Robinson,robinch01,2TM,0.5,0.5,35,True
185,1998,Chris Webber,webbech01,WAS,0.589,0.589,71,False
43,1998,Chris Whitney,whitnch01,WAS,0.915,0.915,82,False
363,1998,Christian Laettner,laettch01,ATL,0.864,0.864,74,False
456,1998,Chuck Person,persoch01,SAS,0.757,0.757,61,False
359,1998,Chucky Brown,brownch01,ATL,0.724,0.724,77,False
221,1998,Clarence Weatherspoon,weathcl01,2TM,0.722,0.722,79,True
361,1998,Clifford Robinson,robincl02,PHO,0.689,0.689,80,False
32,1998,Clifford Rozier,roziecl01,MIN,0.0,0.0,6,False
17,1998,Clyde Drexler,drexlcl01,HOU,0.801,0.801,70,False
1133,1998,Corey Beck,beckco01,CHH,0.729,0.729,59,False
916,1998,Corie Blount,blounco01,LAL,0.5,0.5,70,False
722,1998,Corliss Williamson,willico02,SAC,0.63,0.63,79,False
724,1998,Cory Alexander,alexaco01,2TM,0.784,0.784,60,True
905,1998,Dale Davis,davisda01,IND,0.465,0.465,78,False
107,1998,Dale Ellis,ellisda01,SEA,0.782,0.782,79,False
757,1998,Damon Stoudamire,stoudda01,2TM,0.829,0.829,71,True
105,1998,Dan Majerle,majerda01,MIA,0.784,0.784,72,False
344,1998,Dana Barros,barroda01,BOS,0.847,0.847,80,False
198,1998,Danny Ferry,ferryda01,CLE,0.8,0.8,69,False
1504,1998,Danny Fortson,fortsda01,DEN,0.776,0.776,80,False
330,1998,Danny Manning,mannida01,PHO,0.739,0.739,70,False
7,1998,Danny Schayes,schayda01,ORL,0.807,0.807,74,False
353,1998,Darrell Armstrong,armstda01,ORL,0.854,0.854,48,False
239,1998,Darrick Martin,martida01,LAC,0.848,0.848,82,False
1032,1998,Darvin Ham,hamda01,WAS,0.473,0.473,71,False
128,1998,David Benoit,benoida01,2TM,0.824,0.824,77,True
764,1998,David Robinson,robinda01,SAS,0.735,0.735,73,False
710,1998,David Vaughn,vaughda02,3TM,0.638,0.638,40,True
133,1998,David Wesley,wesleda01,CHH,0.795,0.795,81,False
766,1998,David Wingate,wingada01,SEA,0.517,0.517,58,False
1545,1998,DeJuan Wheat,wheatde01,MIN,0.6,0.6,34,False
1051,1998,Dean Garrett,garrede01,DEN,0.648,0.648,82,False
244,1998,Dee Brown,brownde01,2TM,0.817,0.817,72,True
209,1998,Dell Curry,curryde01,CHH,0.788,0.788,52,False
23,1998,Dennis Rodman,rodmade01,CHI,0.55,0.55,80,False
192,1998,Dennis Scott,scottde01,2TM,0.808,0.808,81,True
1507,1998,Derek Anderson,anderde01,CLE,0.873,0.873,66,False
965,1998,Derek Fisher,fishede01,LAL,0.757,0.757,82,False
